question,answer_text,distractor
We can learn from the article that Mary,was very happy when given the purse,"'was not interested in her father', 'did know how to use the map', 'visited the grandmother house'"
What 's the text mainly about ?,The change in university students ' attitudes to teachers .,"'the students in colleges refuse to go to college', 'how students how to make job', 'what students should go to college'"
Which of the following statements is TRUE ?,An American will feel poor unless he has a car .,"'the post will not be ignored by the chief', 'it will be recognized by the severe of the new', 'no is the greatest single of the greatest of the tv'"
What can we learn about Julia Butterfly Hill from the text ?,She has a sense of social responsibility .,"'she was touched by someone', 'her family asked her to help her', 'lucy found her own'"
"Hearing of Steve Jobs ' death , the heads of other leading technology companies have paid tribute and",spoken highly of him,"'the older people who lived in the town', 'got the key to the older people', 'people whose wrote letters'"
Did Mary know the way to her school ?,"Yes , she knew only one way .","'she did want to get the classroom', 'her teacher did want to go to school', 'how to teach her mother how'"
"According to the reading , what is the connection between exercise and brain development ?",Physical exercise helps us think better .,"'our body is limited by the body', 'it makes to do with person person', 'the less you do'"
What 's the main idea of the passage ?,Children from poor families are more likely to eat junk food .,"'the homeless children in the house', 'children may take their children to raise their children', 'some the kids may raise the children to eat'"
Franklin did not use a,thermometer,"'', 'the same of the', 'local room'"
Which site of the spring has the greatest gap of water temperature ?,Budapest .,"'', 'the', 'water supplies'"
What does the research done by Monash University mainly show ?,Differences in the brains of emotional and rational people .,"'the difference of the brain', 'different types of human beings', 'how people can have access of nature'"
"In the beginning , people used to",drink the chocolate,"'buy chocolate', 'take the pills of chocolate', 'drink milk'"
Why does the policeman run after the young man ?,Because he thinks the young man is a bad man .,"'because the old man was very angry', 'the waiter man was angry', 'he wanted to know the man man'"
What would be the best title for the passage ?,A Remarkable Life : Tortoise Dies at 250,"'how to deal with tree', 'the old man', 'an oscar known'"
What would be the best title for this passage ?,The Shenzhou Olympics,"'the sea', 'how the sea', 'space race'"
People catch colds easily because they,ca n't often wash their hands,"'do want to eat', 'want want to eat', 'are not able to eat'"
Greg Pal used to,be engaged in developing software,"'make the use of computers', 'show aids', 'help invent the use of computers'"
What do people do with the coins in the dumplings ?,They give it to children,"'they are to gather the students to help the', 'the people who felt', 'their kids do like to help'"
Western firms have largely abandoned investing in employees ' training and development because,they are afraid of the losses brought about by the resignation of employees,"'they wanted to sell the arts', 'their students do know to commit crime', 'the government would help the students to make the private'"
What is the function of our immune system ?,To destroy the troublemakers in order that they might not hurt the body .,"'to make the use of the steps', 'when developed the system of the test', 'by to make the use of the steps'"
Why did the author give the card to the homeless guy on the street ?,Because he wanted the guy to have a free coffee rather than some money .,"'because he wanted to know how to take the taste', 'he thought he wanted to take the example one', 'the customers was too busy for him'"
The author may agree all the following statements EXCEPT that,it is possible for us all to grow up to be Tiger Woods - like successes,"'the more productive than the older children', 'it helps us to make quick of the people in the world', 'people must have to accept the right to the government'"
"When traveling in Rome , the writer seems to believe it is a good idea to",go on a picnic in Villa Borghese or Pompeii in Late February,"'read the map of the day', 'buy some of the books', 'the master gets on the door'"
What is the text mainly about ?,Charity in Britain .,"'the election of american indians', 'how research on american indians', 'advantages'"
"To the taxi driver , a red light",did n't always mean that there was cross traffic,"'drove the driver to check the airport', 'wanted the driver to check the airport', 'the should be too much'"
"From the story , we can infer   that",scientists are studying a new type of apples,"'the project would have been used', 'all animals can live in the sea', 'ancient in the species is the most complicated'"
What did the author do last summer ?,She helped someone to learn to read,"'she hoped to help her perform to help her perform', 'her parents were ready to help her', 'he was invited to help her perform'"
What is the writer 's purpose in writing the passage ?,"To tell us some phrases with "" hand "" .","'to show how to write on the paper', 'by paying for the words', 'how people do to cook with the'"
What is the main idea of this passage ?,Speak more English in English class,"'english english', 'the language of english', 'chinese culture'"
The best title for this passage would be,Libraries Going Digital,"'the website', 'welcome readers', 'security department'"
What was the main purpose of China leasing pandas to Belgium ?,We meant to improve the relationship between China and Belgium .,"'make japanese people know how to gain their country', 'advertise the of standard of the world heritage', 'the of the canadian revolution'"
In ancient times birds were thought to be,the ones bringing news from the gods,"'the last of the monkey', 'their names of the monkey', 'they wanted to make the place'"
Which one is NOT TURE according to the article ?,We have understood what all the words in the DNA map do .,"'we should use the words of the person', 'the number of the words of the story', 'dna that is the only way to remember'"
The reason why people often regret may be that,they are too careless to cherish precious things,"'they do like the quiet', 'their kids do like', 'the old man did like them'"
"Alex lent Emma the book , Markings ,",to show his friendliness to her,"'to eat the princess', 'was to the author', 'wrote was the first person'"
Which might be the best title for this passage ?,Turn your MP3 players down !,"'how to deal with your picture', 'tips on your own', 'reading your own'"
This passage is mainly about,the origin and present meaning of tipping,"'the reason why the same looks', 'how the colour of the colours', 'what is boring important'"
The author wants to show that,it is possible to learn to live together in peace .,"'it is good way to get along well with the people in the united states', 'the younger generation children should be afraid', 'we can learn about the history of the world'"
What can we learn about Nikki from the passage ?,Her mum gave birth to four children in all .,"'she was touched by someone mother', 'her family was ready to help the poor', 'the author did want to be'"
What 's the best title of the passage ?,Penguins lost ability to taste fish,"'the rising water', 'how the sweet can climb', 'to play with tree'"
"The words "" man 's best friends""shows",the friendship between people and animals .,"'the people who lived', 'prison people', 'how the terrible of god'"
"In Paragraph 2 , the writer refers to the meaning of "" Yushu "" to show that",people there are brave and strong when facing the earthquake,"'the earthquake has been found by the whales', 'people are more likely to protect the sea', 'it the cause of the arctic'"
What is Google Flu Trends ?,A system to estimate flu activity levels .,"'it is not not used to measure the alcohol of the alcohol', 'the developed of cancer cancer', 'not better stop stop stop stop'"
Which description is right according to the passage ?,Many people have wrong concept towards the relation between love and money .,"'people who do know how to do with their children', 'we have been made the only way to find something', 'the more important way in the world'"
It can be inferred from the passage that the writer,knew the rules well,"'did know how to use the', 'was the first woman to fly', 'never liked the author'"
The price of food goes up because all of the following EXCEPT,American farmers are getting richer and richer .,"'americans like to eat more food', 'american farmers prefer to have community', 'the american prefer to eat more food'"
"Having heard her grandma 's criticism ,",she wishes she were not growing up,"'she did want to eat flowers', 'her parents died to eat them', 'though been been waiting to her mother'"
"According to the text , who are supposed to be in the express line ?",Customers with not more than 15 items .,"'people who want to buy their own of their own', 'the best way to select the internet', 'spend most time on the internet'"
Michael Breus thinks that,teens need enough sleep to be lively,"'kids should be afraid to do with their children', 'children do like to play with their children', 'it makes to make hobby to put your teacher'"
How can you learn more about the special service information ?,By phoning the library at the required time .,"'by the teams', 'on each 3', 'to enter the teams to visit the'"
What did the man do when he returned to his hometown ?,He returned to the shoemaker .,"'he was waiting to the police station', 'the king was in the shop', 'his team was in the shop'"
Collecting taxes on houses has all the following effects except,making the developers do their best to sell their houses,"'the money and the meal', 'exploring to the people who have meal meal', 'there was no place to the people who have special meal'"
"Why is Dickens ' called "" the man who invented Christmas "" ?",Because one of his novels helped to shape Christmas celebrations .,"'because he was the first man to make the beggar', 'his wife asked him to do so', 'the boy was riding with the authors'"
What dose the author say aBout doctors in general ?,They are unwilling to take advice .,"'they should get to help the students', 'their children might know how to make them', 'the parents should go to school'"
The small boy 's foot hurt because,a bucket of water fell on his foot,"'the was too careless', 'was the worst barber the', 'he could find the fields'"
"As Chinese teenagers , what 's our duty in the future ?",To make China more and more beautiful,"'to make friends know some wonderful day', 'they want to spend more money on the internet', 'make money for the people in the world'"
"From the passage , we know",Garcia found much comfort in music according to his mom,"'was the first person who wrote', 'has nothing to make the most important meal', 'does have been seen by confucius'"
Which of the following is TRUE about Sterling according to the passage ?,He has got a big ticket for the racist remarks he made .,"'he is going to make shoes', 'the writer will succeed to win the medal', 'his parents will attend the two the'"
Mary 's brother and his family could have a wonderful holiday because,Mary looked after their dog,"'she was too rude to ask to the hospital', 'her husband was ill ill', 'alice liked her mother'"
People in the 18th and 19th centuries slept about 9.5 hours a night because,they had no electricity,"'they wanted to help the poor of the plane', 'the was told them to go the', 'there could be sharp the sharp of the oil'"
What can we learn from some recent studies ?,Interracial lodging may have diverse outcomes .,"'they can enjoy coffee easily', 'because the only of the general', 'whether take to be independent hospital'"
Why did most of Chinese people believe to eat eggplant and gram to be healthy ?,Because the people think Zhang Wuben is a famous nutritionist and doctor .,"'because the people loved these busy', 'they think the colour of the internet', 'the local government is too busy'"
Which of the following is NOT TRUE according to the passage ?,Mrs. Anderson stole Charlie 's car at the request of her daughter .,"'the grandma doll was angry', 'mr bell was ill in the', 'grandma became kate'"
What is the topic of the talk in November ?,The work of the Thames Ironworks Heritage Trust .,"'the difference of the science', 'people with the difference of the', 'it takes the difference between the day'"
What do we know about space food from the text ?,Astronauts could eat apples in space in the past .,"'the water is too healthy than the water', 'we ll have enough food for the water', 'they are the best way to keep leaf'"
The reading is mainly about,three friends at a school,"'the school year', 'chinese people', 'students'"
We can learn from the text that business English,pays more attention to the forms of expressions,"'is the best known in italy', 'has more articles than articles', 'the tip of the book'"
What can we infer from the passage ?,Friedman has got some supporters for his project .,"'was considered successful in boxing', 'is good way to be', 'the boy did like the dresses'"
Which   is TRUE according to the article   ?,English meals are very simple .,"'the writer does like to cook potatoes', 'most students do like english', 'everyone do have meal meal'"
People with little education usually,have fewer chances to get a good job,"'tend able to take part technical jobs', 'usually sold cheaper than regular', 'simple way to make exams'"
"According to the passage , which of the following is true ?","The word "" DINKS "" appeared in an Asian country .","'the writer was the first american american american american american', 'it is the largest american tour in the united states', 'all american people like traveling'"
"According to the report above , three percent of the people do n't take all their holiday leave because",they are worried about their employer 's view on their taking holidays,"'they do know the importance of the food', 'the old man takes the best way to find the food', 'uniforms can make the best way to find the best'"
How did the farmers make their cows happy ?,They named each cow themselves .,"'they were too busy for the farmer', 'because the tigers were too rude', 'their potato were too poor'"
People from all parts of the world go to visit Venice because,it is beautiful and quite different from other cities,"'it is crowded in the country', 'there is many trees in europe', 'people in the town lies'"
"According to the passage , which of the following is TRUE ?",The customers who can not pay can word as volunteers in stead .,"'the owner will provide you to the person you want to return the', 'it can help you who know the news', 'if one can buy latest cards'"
Everyone likes Tom because,he is friendly,"'he does want to go the', 'his mother does know how to smile', 'the boy is playing'"
What does the author think of society toward motorists ?,Society forgives their rude driving .,"'how to make hobby', 'the effects of following humans', 'mad people from the world'"
Why could n't the elephant get the fruit ?,Because the fruit was too high .,"'because the vegetables were too big', 'the rich vegetables', 'they liked the vegetables'"
"According to the passage , we can know Where Are We Going , Dad ? is",originally from South Korea,"'the english language', 'in province', 'english gallery'"
Which of the following statements is NOT true ?,People should take their naps secretly,"'people should use the keys', 'the wrong we can do with the people', 'many of people are killed'"
What is the passage mainly about ?,Benefits of advertising and its characteristics .,"'demand the popularity of mobile phone', 'the importance of getting health', 'how the effects of carbon'"
"To be generous , the writer thinks",you find it meaningful whatever you do,"'you should have good friends', 'how you can find good job', 'it does mean you want to get good friend'"
The research mentioned in the passage is most probably about,the relevance between IQ and use of modern technology,"'the connection of the connection of the language', 'how to use the invention of the language', 'different of the major of the united states'"
What can be inferred from the passage ?,John is optimistic about feeding the rising population .,"'the author thinks to make friends with the government', '500 sharks have been killed by the waters', 'no no air is very healthy'"
"By "" Your past is more complete than mine , "" Mommy means   ",Shao - ming has got motherly care and a sense of roots,"'the boy who hates the boy', 'people are relaxed towards with their', 'who can do how to use the internet'"
This passage mainly tells us that,one 's memory can be trained,"'everyone can be used to our dreams', 'the better way to earn money', 'how many advantages of dreams'"
What would be the best title for the text ?,Can birds really talk to us ?,"'how to make potatoes', 'the of the sea', 'what is easy to get'"
"Two kinds of Sushi , Edo and Osaka , were probably named after",their birthplaces,"'the young man', 'tigers tigers', 'they look to the police'"
What was the outside bank guard 's reaction to the armed robbers ?,He was frightened to death by the robbers .,"'he was the police officer of effendi', 'the equipment was successfully', 'his father was killed by the police'"
"In this passage , why did the young man start early in the day ?",He knew the tide was out on this particular morning .,"'he decided to show the visitor', 'the conductor told him to help him', 'his grandmother was sad about the beggar'"
Sufjan Stevens composes songs about states to,let people know more about the US,"'introduce the seed to find out', 'make people know how about the weather', 'tell people how to arrange the internet'"
Which of the following statements is TRUE ?,Scientists are warning people noise can be harmful .,"'it is the only way to change the light of earth', 'people should use touch to make robots devices', 'the global of robots is very dangerous'"
What do we know about the author 's family ?,Her family lives not far from a church .,"'she was invited to help her daughter', 'her family is too poor', 'the writer did want to be treated'"
The Future Stars is intended for,pre - school children,"'junior', 'youth people', 'school school'"
What the cities mentioned above have in common is that they,all have many tourist attractions to enjoy,"'illegal hunters like to be seen', 'they do like songs', 'the bad weather in the hotels'"
Why did the author say she was in misery ?,Because she was doing poorly in her study .,"'because she was too busy to walk', 'she was too busy to walk the airport', 'that the speaker was too busy'"
Where do the kids learn Chinese ?,In a weekend Chinese school in a church .,"'in hong kong', 'at primary school', 'on elementary course'"
The purpose of the passage is to,introduce some information about Peter Jackson,"'introduce the new magazine', 'tell people how to comment the', 'show about how to make person'"
Which is WRONG    ?,Sally and I are in the same class .,"'mary does like the same', 'mr was invited by kate', 'the blind has nice'"
The passage mainly tells us that,there are different ways to give directions in different parts of the world,"'the more advanced english can improve the world', 'we have to work in the end of the world', 'all dreams of stars have been found by the effects of the world'"
"According to legend , if it is cloudy on February 2 ,",winter will end in a short time,"'will be able to open the day', 'the first flight', 'is 10 person day'"
"In the early times , the travelers",had lots of money,"'paid paid for the money', 'stopped to work jobs', 'was tied hours'"
What is the main idea of this passage ?,We should balance work with rest .,"'how to develop our talents', 'we can develop our houses', 'our friends do know how to arrange'"
Which of the following statements is TRUE concerning general intelligence ?,People doing well on one type of intelligence test do well on other tests .,"'the fact standard of the gene is helpful to measure the use of the brain', 'people use use to use the use of the memory', 'using more advanced use to measure the use of the brain'"
What message does the writer pass on at the end of the passage ?,She was aware that she had to kick the habit of being addicted to her iPhone .,"'she was the first to discover her son to forget the storm', 'the was too scared to take mom to her son', 'her son asked her to be so to be'"
Why did the author decide to introduce a new shop to his mother ?,She is too old to go to the market as before .,"'she thought she was too poor', 'because her father would buy her to buy new new', 'her daughter would remind to help her'"
Which one of the following does n't contribute to Safina 's success ?,Her emotional explosion and volatile emotional state .,"'her mother struggle', 'she learned how to make friends with her', 'the emotional of her life'"
"According to the text , Rock Dimensions camps will",probably impress participants deeply,"'make fun use of farming areas', 'know the difference between the colours', 'have been good fairy'"
What can we learn from the passage ?,The dummies books will continue to be popular .,"'the author published on the book', 'it was the most important book', 'all of books are available for the festival'"
"At the sight of the author , the rattlesnake",lay motionless but got ready to meet danger,"'the little man was too', 'was too busy to find the visitor', 'wanted them to sell the'"
What is special about Caleb Street 's Inn ?,It has a golf course for guest,"'it is the largest garden', 'mary', 'the new school school'"
The purpose of this writing is to,introduce a new kind of genetically - modified rice and its possible benefits,"'warn the seed to the old man', 'tell the difference between the importance of the importance of the world', 'show that people can buy valuable better to reward the product of the world'"
It can be learned from the text that an assistant should offer you help,only when you have finished reading,"'100 years', 'the same time', 'when he has no chance to share the bill'"
Which of the following is true ?,You are not late if you go to your classroom at 8 o'clock on Thursday .,"'you should stay to board the post', 'it you have to pay for the post office', 'the more you have said about the sun'"
"After listening to Mrs. Lemming 's story , Annabelle wished",she could be as great as Sophie,"'she did want to be', 'he was too busy to get the housework', 'the teacher did want to go to school'"
What does the author say about most Facebook users ?,They do n't know their personal data enriches Facebook,"'they use computers to make computers', 'sorry sorry about the truth', 'their computers do not get information information'"
We do n't know that our eyes are of great importance until,we can not see clearly,"'we should try the place of the', 'the problem of the brain', 'these parts of the brain'"
The address of the Shanghai Center Theater is,1376 Nanjing Road W,"'the airport', '', 'airport de'"
"According to Professor Cook , the rings of the trees",offer people information about the regional climate .,"'make the use of the dead', 'encourage the awareness to discover how to operate', 'show how to use the electricity'"
Which one is probably not Dr. Sharon M. Draper 's job ?,doctor,"'junior', 'mr jones', 'the old man'"
Which is the best title for the passage ?,A Trip to Know Margaret Mitchell .,"'how to choose christmas', 'hates', 'the magic of tom'"
"The laundry owners asked Ramesh to come later , because",they had to wait for the sun to come out to dry clothes,"'they did like the meal', 'the nail regretted him to the police', 'there would wait the old lady'"
"According to the survey , which do people lose most frequently ?",Cell phones .,"'cellphones', 'cell phones', 'phone phones'"
"Before the cheating , the author thought that",he was a decent child but not perfect,"'he was too young to make the teacher', 'the boy did know how to do so', 'his parents did know how to do so'"
What happened to them a few minute later ?,their car nearly hit another car,"'they gave the policeman', 'the policeman was too angry', 'cleaning his car'"
Which of the following statements is TRUE to the facts about most organic produce sold in Britain ?,It is produced outside Britain .,"'it sells the', 'the sun is the biggest market market', 'its has been painted by the'"
"According to the passage , which of the following remains unknown so far ?",The working principle of suggestion therapy .,"'the connection of the brain', 'it the key to the young people', 'improving shown'"
A sound   scientific theory should be one that,works under one set of conditions at one time and also works under the same conditions at other times,"'the strength of getting time', 'it was impossible to find to find new plan for the content of time', 'in which standard of which'"
What 's the main idea of this passage ?,There are some ways to talk with our parents .,"'we should have patience to our parents', 'the writer thinks to do with the date', 'how many people do like to do'"
"According to the passage , Rodrigo Cruz",thinks people can use phones in emergencies while driving,"'is the only way to find the internet', 'has cameras hi tech devices', 'the better to work without driving'"
Why do about one - fourth of kids have poor handwriting in America ?,Each reason mentioned above is possible .,"'it was chosen as the best novel', 'the women would have no interest', 'they are trying to make their new ideas'"
What is Gemma Cope according to the passage ?,The manager of an tourist company .,"'the city of the city', 'an international city', 'how the drawings of the city'"
What is the main idea of the article ?,Why earthquakes seem to be more serious this year .,"'how to develop our body', 'the of the earth is very important', 'what people do have the ability of the creating'"
Which of the following is true ?,The thief was caught two days later .,"'the grandfather did want to help the sound', 'it is the first police to travel the bus', 'what kind of noise was'"
Which of the following may be a suitable title for the story ?,Civilized Dog Raising,"'the horse', 'an impression', 'dog owner'"
The writer,is an American,"'is man man', 'plays man', 'has an english player'"
Which is TRUE about Brazil ?,Soccer and samba are two symbols of the country .,"'the tigers are the same islands in the world', 'women who are workers in the united states', 'people can enter the place to meet soccer'"
What worried the Craigs ?,There was no cheetah mother to teach the cubs .,"'the boy did like to be', 'he was invited to go to school', 'it did have hidden'"
Why was life able to develop on the earth but not on other planets ?,The water stayed on the earth but not on other planets .,"'the nail made the', 'they needed the plant to the ocean', 'because they were used to explore the'"
What is the passage mainly about ?,It instructs us how to water trees correctly,"'it is good for plastic to the sun', 'how much measures to the environment of the world', 'the of the sea'"
What are guests supposed to do from 9:00 a. m. to 10:30 a. m. ?,To take a tour of the Thomas College campus .,"'to celebrate the new year', 'draw to the concert', 'the school entrance'"
What did Mr. and Mrs. Gordon do when Sandra was carried out to sea by the wave ?,Perhaps they were reading magazines .,"'they talked to the little boy', 'the little boy was very rude', 'because his mother stopped them to reach the same day'"
Which of the following is TRUE according to the passage ?,The poor man had no money to buy food for his daughter .,"'the father was very surrounded', 'hilary father was very strict', 'all homeless people were injured'"
Kate thought Tom was wrong because,clocks in Los Angeles showed a different time from those in New York,"'she was the first american sunday department', 'friday was called beginning', 'the general was too angry with the taxi'"
Why can imagination build children 's selfconfidence ?,It makes them feel as if they were much more powerful than they really are .,"'it is the best way to learn about the history of the world', 'because we must bear dreams with the steps of the road', 'to help us realize the importance of the dreams'"
Which of the following is WRONG ?,The author thinks tigers should stay in cages .,"'the writer does like the writer', 'pan teaches is the best way to the young man', 'everyone should get along well with the post'"
"When there is a traffic jam , we should",change the route if possible,"'the plane of the car', 'map map', 'to take the map map'"
"According to the article , phytomining",has different productivity depending on the type of energy crop,"'is suitable for the most popular popular', 'has developed on robot base power', 'refers more evidence about the world'"
From the passage we learn that uniforms in general,help the wearers keep their duties in mind,"'decided to the new band', 'told the police to help the', 'continue their children to help their children'"
"According to the passage , alcohol has something to do with bad breath mainly because",it affects the normal flow of saliva,"'it is not kind to stop the body', 'the flu body is not by by the body', 'when it kills body pressure'"
What is the best title for the passage ?,An important suggestion for workers .,"'disadvantages of technology', 'the effects of robots', 'an international adopted'"
What 's the best title for this text ?,Ways for future shopping,"'how to choose up', 'the disadvantages of supermarket', 'to tell readers how to arrange the internet'"
Why did the mother and daughter go to the secondhand shop ?,Because they tried to keep themselves from the rain .,"'because the waiter was too busy', 'they had to the new watch', 'the writer did know how to take the'"
At Beach Culture you can buy,Mambo and Stussy,"'the royal museum', '', 'and tea'"
"During the "" failure week "" the students could do the following things EXCEPT",trying to entertain themselves,"'talk to the police', 'they had no money to the', 'to help them learn the words'"
It can be inferred from the passage that,later life experience can lead to different EQ,"'his daughter does like the same thing as the time', 'the author does like the same thing as his own', 'he has been planned by the guinness'"
Which of the following is TRUE ?,Melvin 's teacher thinks it is a great thing to learn to help others .,"'the younger generation children will have great dreams', 'one child does have good dreams', 'it good to teach to teach the deaf'"
"When it is winter in China ,",the North Pole is tilted away from the sun,"'the sun is too small', 'is suitable to the sea', 'it suitable the sea to walk'"
Which of the following is true ?,Alice ran after the white rabbit across the field out of curiosity .,"'mary was ill by the boa', 'the blind did like the fish', 'was clever to help the lion'"
Which is TRUE ?,Everyone in Class Four likes Wendy .,"'looks basketball', 'where my own', 'how kind of noise'"
What would be the best title for the passage ?,Deb Lovci --2015 's Best Ski Guide,"'winning of experience experience', 'predators', 'the best known'"
One part of the homeless population is difficult to estimate . The reason might well be,some homeless children are deserted by their families,"'the homeless people in the shelter', 'children and children', 'people often tried to stay for their children'"
What 's the main idea of the passage ?,Wuhan issued smog warnings for three days because of smog .,"'the whale whale is the main light', 'people should use the use of the bags', 'light is the main cause of plastic bags'"
The program is about,the life of America,"'the relationship between humans', 'how the relationship between humans', 'what the relationship between humans'"
What does the writer recommend to create customer delight ?,Delivering a quicker service .,"'ads', 'new phones', 'box companies'"
The woman 's skin became orange because,she ate   too much orange food,"'she was twelve years old', 'mrs brown likes her', 'the fish was nice'"
What can you learn from this story ?,He had to go to hospital again though he hated it .,"'he was afraid of the little captain', 'his oldest was ready to teach his son', 'the wealthy man was angry by he was sad'"
They go to the town to see a film because,there is no cinema in the country,"'there are many people in the city', 'the women did like to sing', 'it has exciting place for the young man'"
Which of the following can be the best title for the text ?,My Father 's Secret .,"'the mysterious', 'how teacher', 'woman friend'"
"In the last sentence , the word "" their "" refers to",rivers,"'the', '', 'god sent'"
What can we infer from the passage ?,Straw which is convenient to get is much cheaper than thick bricks .,"'it is the only way to make the best of the world', 'the quality of the tech tech system', 'people must use the use of the device'"
"61 . According to the passage , the abilities a child has inherited from his parents",partly determine the standard he is likely to reach,"'was better to judge the freedom of the police', 'must the freedom of the keys', 'the higher of the women movement'"
What makes it possible for humans to live on other planets ?,The adaptive ability of humans .,"'the brain cells', 'hands and robots', 'memories of the brain'"
What made people curious about the father and daughter was that,they appeared to be badly off but refused money offered,"'they were expecting to see the old man', 'the old man was too poor', 'mr would not take to the new'"
The writer 's purpose of writing this passage is to,tell us that life has been changing,"'tell us how to do the importance of the', 'warn us that the importance of the importance of the hard', 'show that people are often'"
